程心,0.0640978476784358
罗辑,0.0587110586291301
三体,0.043193152560488
太空,0.0325298155413492
汪淼,0.0294543694806074
没有,0.0270488965897012
宇宙,0.0261957382953564
智子,0.0254566959203807
地球,0.0240775268470287
飞船,0.0233150443811391
世界,0.0221174096916642
看到,0.0220614890590343
人类,0.0215309764964696
叶文洁,0.0213988959481594
现在,0.0206430859940257
舰队,0.0199995051807286
太阳,0.0198242182198672
可能,0.0180195887879917
面壁,0.0179357278987222
知道,0.0178250927689427
已经,0.0175480914474898
AA,0.0161603671479171
文明,0.0152268573447195
太阳系,0.0146553333095761
光速,0.0132533460390576
大史,0.0127503814194575
关一帆,0.0118113998420556
水滴,0.0116944858703954
不是,0.0112800827742589
迪亚兹,0.0108651827144518
北海,0.0108634123030245
史强,0.0107735780986114
二维,0.0107252786664907
感觉,0.0106578954953252
行星,0.0106577325709985
这种,0.0104061819034502
最后,0.0103178260201269
信息,0.0101645169065707
恒星,0.0101399030670829
时间,0.0101355650415189
东西,0.00996485554592209
出现,0.00992908254200582
两个,0.00983797702257638
很快,0.00971411829328585
天明,0.00969062086356815
看着,0.00965423549330743
冬眠,0.0096321041155185
维德,0.00935748791779447
真的,0.009245913389506
计划,0.00916978157849335
发现,0.00889429786771282
纪元,0.00870883693907838
这是,0.00856902806311826
消失,0.0085412132960373
起来,0.00844995130412772
黑暗,0.00805052820165101
丁仪,0.00802814324389316
星环,0.00800605344942683
目光,0.00796503903330701
空间,0.00796367254465877
战舰,0.007800684741289
人们,0.00776049763035113
恩斯,0.00769923106952844
所有,0.00764133050013642
太空城,0.00749908113882539
进行,0.00747270794905643
一种,0.00742974086612147
发出,0.00738820431460143
变成,0.0072411091022114
技术,0.0071796323360125
地说,0.00716591203806723
发射,0.00711868771676835
只能,0.00706788668187569
当然,0.00701818108799782
威慑,0.00694677011518625
木星,0.00693579377233951
应该,0.00687405281468121
红岸,0.00681997145691915
存在,0.00676410289961984
能够,0.00646430377728261
孩子,0.00638296394966561
世纪,0.00634760432024109
方向,0.00629893506514586
一片,0.00629389041163385
需要,0.00623203204325116
研究,0.006220170897444
公主,0.00620674317016465
穿梭机,0.00620614708668422
完全,0.00614125448607521
仿佛,0.0061347666526505
周围,0.00612675628970215
位置,0.00607575644013423
系统,0.00606947930169251
巨大,0.00606083239818459
破壁,0.00599926491106031
蓝色,0.00598636021265696
时代,0.00587278768985858
声音,0.00585200338702701
一次,0.00582358154386092
产生,0.00581888356021141
轨道,0.00579158687184733
状态,0.00577742822248565
引力波,0.00575347397108735
舰长,0.00572162899893675
泰勒,0.00568020222777479
城市,0.0056472178949896
突然,0.00563957007640576
三个,0.00562791367092116
星星,0.00559680407437882
生活,0.00557440427291896
想象,0.00554151828629894
速度,0.00549921613058999
地面,0.00547523805775082
肯定,0.00546087550421172
进入,0.00545038125041153
看看,0.00532319347513785
万有引力,0.00531600151663358
处于,0.00531032302684321
其实,0.00529927811445591
出来,0.00529214224977739
思想,0.00526646808573954
点点头,0.00525858954844461
目标,0.0052399617865731
庄颜,0.00523852880024225
距离,0.00518059744479279
问题,0.0051612303195117
立刻,0.00514287100704937
生命,0.00512313686722155
感到,0.00511186036908735
工作,0.00509052309543388
看上去,0.00507837014046267
几乎,0.00501464343613954
以前,0.00494362667692511
不同,0.00488886390619026
加速,0.00487697257184675
一下,0.00483064145285129
发生,0.00481816205305807
钢印,0.00481596995490015
渐渐,0.00481304097717033
一起,0.00479341142929471
显示,0.00478264567951749
毁灭,0.00478095926181769
外面,0.00476238903511933
眼睛,0.00473254011697835
来自,0.00472593553260727
观测,0.00470761341300449
回答,0.00468300615671825
正在,0.00467796250788533
怎么,0.00467721745292363
像是,0.00466582673865875
不会,0.00465061699119805
似乎,0.00464723859122348
三维,0.00461730619805689
一颗,0.0046114461257111
森林,0.00458438636931224
联合国,0.00458200238491168
后来,0.00458142073598811
听到,0.00457908568941236
天空,0.00456709909966143
博士,0.00455386664120033
航行,0.00451820862470101
进人,0.00449722755492495
注意,0.00447728192658513
惠子,0.00447711046525149
基地,0.00446977173879773
摇摇头,0.00444175737045882
苏醒,0.00443558607105948
好像,0.00443501185538782
伊文斯,0.00442055988746016
表面,0.00441689979173195
整个,0.00440332636220181
显然,0.00438201557040211
不能,0.00437118358808976
图像,0.00436080427293645
小时,0.00434681082135018
社会,0.00434288385287113
窗口,0.00433830179381607
成为,0.00433398907251909
运行,0.00430907299106932
再次,0.00430223544386613
第一次,0.00427248469730869
沉默,0.00427051111762266
到达,0.00425806329730038
地方,0.00425340505908983
探测器,0.00424494860808256
有人,0.00421162624771783
掩体,0.00420485477119863
曹彬,0.00420070705679803
下来,0.0041472652540727
认为,0.00412251355750658
延绪,0.00410186689075572
也许,0.00409353400091393
平面,0.00408844892465335
移民,0.00405023648238854
天线,0.00404891291082641
减速,0.00401648719751105
希望,0.00400243454629572
画师,0.00399335575145378
永远,0.00398761464122224
自然选择,0.00398427363877371
